company,code,listing_date
일성건설,013360,1989-12-02
국보,001140,1989-12-02
대창,012800,1989-12-05
유니켐,011330,1989-12-14
하이록코리아,013030,1989-12-15
한올바이오파마,009420,1989-12-18
아센디오,012170,1989-12-20
카스,016920,1990-01-04
동성제약,002210,1990-01-19
신풍제약,019170,1990-01-20
영화금속,012280,1990-01-25
대영포장,014160,1990-03-06
일진홀딩스,015860,1990-03-22
HLB글로벌,003580,1990-03-23
성문전자,014910,1990-03-24
서흥,008490,1990-03-27
원림,005820,1990-04-20
대동전자,008110,1990-06-05
금비,008870,1990-06-08
무림페이퍼,009200,1990-06-09
현대차증권,001500,1990-06-09
팜젠사이언스,004720,1990-06-15
청호ICT,012600,1990-07-10
코센,009730,1990-07-27
고려아연,010130,1990-07-28
STX,011810,1990-09-12
광명전기,017040,1990-09-14
부산산업,011390,1990-09-14
케이비아이동국실업,001620,1990-09-15
대현,016090,1990-09-20
피에스텍,002230,1991-01-04
고려산업,002140,1991-01-14
극동유화,014530,1991-01-31
화승인더스트리,006060,1991-02-04
신흥,004080,1991-02-08
화승코퍼레이션,013520,1991-02-22
태경비케이,014580,1991-03-07
호텔신라,008770,1991-03-12
세아베스틸지주,001430,1991-03-12
대동기어,008830,1991-05-17
롯데케미칼,011170,1991-05-30
에이티넘인베스트,021080,1991-07-12
수산중공업,017550,1991-08-30
휴니드테크놀러지스,005870,1991-09-03
세명전기,017510,1991-12-26
대한해운,005880,1992-04-23
글로본,019660,1992-06-04
대주산업,003310,1992-08-01
한국알콜,017890,1992-08-04
한일화학,007770,1992-09-07
일지테크,019540,1992-11-03
네이처셀,007390,1992-11-30
삼일기업공사,002290,1992-11-30
원풍,008370,1992-12-18
경동제약,011040,1992-12-18
대림비앤코,005750,1992-12-23
삼륭물산,014970,1992-12-29
DB,012030,1993-01-06
SGC에너지,005090,1993-01-06
중앙에너비스,000440,1993-03-24
디모아,016670,1993-04-21
한국가구,004590,1993-06-03
대원산업,005710,1993-06-21
큐캐피탈,016600,1993-06-21
광림,014200,1993-07-07
대동금속,020400,1993-07-30
경동나비엔,009450,1993-08-31
삼화페인트공업,000390,1993-09-10
엠에스씨,009780,1993-10-12
베뉴지,019010,1993-11-05
삼보산업,009620,1993-12-07
푸른저축은행,007330,1993-12-07
피제이전자,006140,1993-12-07
푸드웰,005670,1993-12-07
유니크,011320,1993-12-29
대양제지,006580,1993-12-29
진로발효,018120,1993-12-29
CBI,013720,1993-12-29
대명소노시즌,007720,1994-01-06
모토닉,009680,1994-01-14
화신,010690,1994-01-14
삼성중공업,010140,1994-01-28
부방,014470,1994-02-25
바른손,018700,1994-03-18
동원시스템즈,014820,1994-03-29
이화산업,000760,1994-04-29
대양금속,009190,1994-04-29
서한,011370,1994-05-24
신라섬유,001000,1994-06-28
원일특강,012620,1994-06-28
엘에스일렉트릭,010120,1994-07-11
와이엠,007530,1994-08-05
일정실업,008500,1994-08-12
오뚜기,007310,1994-08-12
HL D&I,014790,1994-08-12
보성파워텍,006910,1994-09-07
브이티지엠피,018290,1994-09-07
태광,023160,1994-09-07
국영지앤엠,006050,1994-10-07
CNH,023460,1994-10-07
제이스코홀딩스,023440,1994-10-07
유진기업,023410,1994-10-07
모베이스전자,012860,1994-10-26
웅진,016880,1994-11-05
KC그린홀딩스,009440,1994-11-05
문배철강,008420,1994-11-05
한일사료,005860,1994-11-07
플레이위드,023770,1994-11-07
대한광통신,010170,1994-11-07
한국캐피탈,023760,1994-11-07
대림제지,017650,1994-11-07
동일철강,023790,1994-11-07
풍국주정,023900,1994-11-23
이화공영,001840,1994-11-23
대한약품,023910,1994-11-23
흥구석유,024060,1994-12-07
KB오토시스,024120,1994-12-07
신원종합개발,017000,1994-12-07
태평양물산,007980,1994-12-27
에스엠벡셀,010580,1994-12-27
KPX케미칼,025000,1994-12-27
세원물산,024830,1994-12-29
KBI메탈,024840,1994-12-29
대륙제관,004780,1994-12-29
이화전기,024810,1994-12-29
경창산업,024910,1994-12-29
동원개발,013120,1994-12-29
케이피에프,024880,1994-12-29
메디앙스,014100,1995-01-03
PN풍년,024940,1995-01-04
삼천리자전거,024950,1995-01-04
시노펙스,025320,1995-04-20
DH오토웨어,025440,1995-05-22
한국선재,025550,1995-06-19
한탑,002680,1995-07-07
신라에스지,025870,1995-07-07
케이씨피드,025880,1995-07-07
제이준코스메틱,025620,1995-07-08
에넥스,011090,1995-07-08
한국카본,017960,1995-07-08
에이프로젠,007460,1995-07-08
동화기업,025900,1995-08-07
동신건설,025950,1995-08-07
서울도시가스,017390,1995-08-18
이구산업,025820,1995-08-18
HMM,011200,1995-10-05
경인양행,012610,1995-10-05
풀무원,017810,1995-10-05
대신정보통신,020180,1995-10-06
서부T&D,006730,1995-10-06
성우하이텍,015750,1995-11-04
남해화학,025860,1995-11-10
동원금속,018500,1995-11-10
성안,011300,1995-11-10
신대양제지,016590,1995-12-21
와이투솔루션,011690,1995-12-21
인터엠,017250,1996-01-03
광진실업,026910,1996-01-03
아난티,025980,1996-01-06
유니슨,018000,1996-01-10
리드코프,012700,1996-01-19
계룡건설산업,013580,1996-01-30
에스원,012750,1996-01-30
서원,021050,1996-01-30
태경산업,015890,1996-01-30
원익큐브,014190,1996-04-26
에이스침대,003800,1996-05-03
삼목에스폼,018310,1996-05-03
삼보판지,023600,1996-05-29
키다리스튜디오,020120,1996-07-03
세원정공,021820,1996-07-03
한섬,020000,1996-07-03
세하,027970,1996-07-03
영풍제지,006740,1996-07-03
환인제약,016580,1996-07-03
현대엘리베이터,017800,1996-07-03
유니온,000910,1996-07-03
팜스토리,027710,1996-07-06
HLB,028300,1996-07-27
신성이엔지,011930,1996-07-31
한온시스템,018880,1996-07-31
디아이,003160,1996-07-31
티에이치엔,019180,1996-07-31
광무,029480,1996-08-27
대호특수강,021040,1996-08-27
메이슨캐피탈,021880,1996-09-02
원익홀딩스,030530,1996-09-24
한글과컴퓨터,030520,1996-09-24
광전자,017900,1996-10-16
한국단자공업,025540,1996-10-16
HDC,012630,1996-10-16
양지사,030960,1996-10-24
다올투자증권,030210,1996-11-19
WISCOM,024070,1996-11-22
동원수산,030720,1996-11-22
미래산업,025560,1996-11-22
한일단조,024740,1996-11-29
세보엠이씨,011560,1996-12-23
신도리코,029530,1996-12-24
MH에탄올,023150,1996-12-24
삼성엔지니어링,028050,1996-12-24
국동,005320,1996-12-24
퍼시스,016800,1996-12-24
예스코홀딩스,015360,1996-12-24
동남합성,023450,1996-12-24
SK하이닉스,000660,1996-12-26
피에스케이홀딩스,031980,1997-01-07
엔에스엔,031860,1997-01-07
뉴인텍,012340,1997-02-12
콤텍시스템,031820,1997-02-12
에스제이엠홀딩스,025530,1997-02-12
오스템,031510,1997-02-12
경동인베스트,012320,1997-03-07
삼일,032280,1997-03-15
TJ미디어,032540,1997-04-16
휴맥스홀딩스,028080,1997-04-16
피델릭스,032580,1997-04-22
유비케어,032620,1997-05-02
에쓰씨엔지니어링,023960,1997-06-23
인지컨트롤스,023800,1997-06-23
덕양산업,024900,1997-06-23
판타지오,032800,1997-06-26
엠젠솔루션,032790,1997-06-26
비트컴퓨터,032850,1997-07-04
휴먼엔,032860,1997-07-04
삼진,032750,1997-07-14
웰바이오텍,010600,1997-07-18
한국주강,025890,1997-07-18
원익,032940,1997-07-18
소프트센,032680,1997-07-18
원풍물산,008290,1997-07-18
SKC,011790,1997-07-18
동일기연,032960,1997-07-18
아이즈비전,031310,1997-07-25
특수건설,026150,1997-08-06
디지틀조선,033130,1997-08-06
바이온,032980,1997-08-06
와이지-원,019210,1997-08-06
제이엠아이,033050,1997-08-18
제룡전기,033100,1997-08-18
다우기술,023590,1997-08-27
E1,017940,1997-08-27
SK가스,018670,1997-08-27
영보화학,014440,1997-08-27
코콤,015710,1997-09-30
모아텍,033200,1997-10-13
코웰패션,033290,1997-10-13
대원화성,024890,1997-10-28
스페코,013810,1997-11-03
좋은사람들,033340,1997-11-03
제이씨현시스템,033320,1997-11-10
엠투엔,033310,1997-11-10
드래곤플라이,030350,1997-11-10
포스코엠텍,009520,1997-11-10
엠케이전자,033160,1997-11-10
스틱인베스트먼트,026890,1997-11-25
케이씨,029460,1997-11-25
동성화인텍,033500,1997-12-19
파라텍,033540,1997-12-26
한국정보통신,025770,1998-01-20
제일기획,030000,1998-03-03
하이트론씨스템즈,019490,1998-11-04
케이티,030200,1998-12-23
자화전자,033240,1999-01-06
해성산업,034810,1999-04-16
매일홀딩스,005990,1999-05-14
동국산업,005160,1999-06-25
그래디언트,035080,1999-07-05
인성정보,033230,1999-07-30
체시스,033250,1999-08-11
AK홀딩스,006840,1999-08-11
지투알,035000,1999-08-11
대한유화,006650,1999-08-11
백산,035150,1999-08-11
시공테크,020710,1999-08-13
솔본,035610,1999-08-13
바른손이앤에이,035620,1999-08-13
조아제약,034940,1999-08-13
신일제약,012790,1999-08-13
디씨엠,024090,1999-08-18
HD한국조선해양,009540,1999-08-24
케이티앤지,033780,1999-10-08
팜스코,036580,1999-10-25
화천기공,000850,1999-11-18
기산텔레콤,035460,1999-11-18
이지홀딩스,035810,1999-11-23
CJ ENM,035760,1999-11-23
미래아이앤지,007120,1999-11-26
대성창투,027830,1999-11-30
예림당,036000,1999-11-30
서울전자통신,027040,1999-12-03
SCI평가정보,036120,1999-12-07
골드앤에스,035290,1999-12-07
위지트,036090,1999-12-10
유니셈,036200,1999-12-10
코리아나,027050,1999-12-10
유성티엔에스,024800,1999-12-10
네패스,033640,1999-12-14
인지디스플레,037330,1999-12-14
한국가스공사,036460,1999-12-15
대원제약,003220,1999-12-15
삼지전자,037460,1999-12-16
우리엔터프라이즈,037400,1999-12-16
지더블유바이텍,036180,1999-12-21
동진쎄미켐,005290,1999-12-21
선광,003100,1999-12-21
다우데이타,032190,1999-12-21
한국팩키지,037230,1999-12-21
클라우드에어,036170,1999-12-21
제이에스티나,026040,1999-12-21
대성홀딩스,016710,1999-12-22
주성엔지니어링,036930,1999-12-24
서희건설,035890,1999-12-24
케이티알파,036030,1999-12-24
영풍정밀,036560,1999-12-28
SGC이테크건설,016250,1999-12-28
심텍홀딩스,036710,2000-01-04
무림SP,001810,2000-01-04
세종텔레콤,036630,2000-01-04
파세코,037070,2000-01-04
한세예스24홀딩스,016450,2000-01-06
성도이엔지,037350,2000-01-11
제일테크노스,038010,2000-01-11
EG,037370,2000-01-11
감성코퍼레이션,036620,2000-01-11
솔브레인홀딩스,036830,2000-01-18
코맥스,036690,2000-01-18
에프에스티,036810,2000-01-18
레드캡투어,038390,2000-02-01
희림,037440,2000-02-03
마크로젠,038290,2000-02-22
경남스틸,039240,2000-03-07
화성밸브,039610,2000-03-16
케이엠더블유,032500,2000-03-21
에코플라스틱,038110,2000-03-23
대성미생물,036480,2000-04-04
쎄니트,037760,2000-04-07
쌍용정보통신,010280,2000-04-14
SG&G,040610,2000-04-27
아이에이,038880,2000-04-27
에스엠,041510,2000-04-27
에스넷,038680,2000-04-27
나이스정보통신,036800,2000-05-03
위즈코프,038620,2000-05-04
이건홀딩스,039020,2000-05-04
파인디지털,038950,2000-05-04
NICE평가정보,030190,2000-05-16
에스에이엠티,031330,2000-05-23
HRS,036640,2000-05-30
세중,039310,2000-06-09
우리기술투자,041190,2000-06-09
케이바이오,038530,2000-06-09
안국약품,001540,2000-06-15
바이오스마트,038460,2000-06-22
다산네트웍스,039560,2000-06-22
우리기술,032820,2000-06-22
네오위즈홀딩스,042420,2000-06-27
디오,039840,2000-06-29
한국정보공학,039740,2000-07-06
에스씨디,042110,2000-07-13
파루,043200,2000-07-19
삼아제약,009300,2000-07-19
삼아제약,009300,2000-07-19
지니뮤직,043610,2000-07-20
진성티이씨,036890,2000-07-20
현대에이치티,039010,2000-07-20
진양제약,007370,2000-07-27
정상제이엘에스,040420,2000-08-01
코아시아,045970,2000-08-03
비츠로테크,042370,2000-08-03
솔고바이오,043100,2000-08-08
오공,045060,2000-08-10
파나진,046210,2000-08-16
나노엔텍,039860,2000-08-16
서울제약,018680,2000-08-18
상상인,038540,2000-08-18
국순당,043650,2000-08-24
이오테크닉스,039030,2000-08-24
국순당,043650,2000-08-24
엘컴텍,037950,2000-08-24
에쎈테크,043340,2000-08-29
누리플렉스,040160,2000-08-29
한양이엔지,045100,2000-08-31
정원엔시스,045510,2000-09-07
에이치케이,044780,2000-09-07
삼천당제약,000250,2000-10-04
엔피케이,048830,2000-10-12
한국내화,010040,2000-10-16
상지카일룸,042940,2000-10-19
위닉스,044340,2000-10-24
오리콤,010470,2000-10-24
두산에너빌리티,034020,2000-10-25
아즈텍WB,032080,2000-10-26
KD,044180,2000-11-16
이글벳,044960,2000-11-16
동원F&B,049770,2000-11-23
포스코DX,022100,2000-11-28
크린앤사이언스,045520,2000-12-05
고려제약,014570,2000-12-07
인바디,041830,2000-12-14
코다코,046070,2000-12-26
금화피에스시,036190,2000-12-26
라온시큐어,042510,2001-01-03
KCI,036670,2001-01-03
오로라,039830,2001-01-03
삼현철강,017480,2001-01-09
오픈베이스,049480,2001-01-09
삼화네트웍스,046390,2001-01-11
성광벤드,014620,2001-01-11
블레이드 Ent,044480,2001-01-11
유라테크,048430,2001-01-11
코메론,049430,2001-01-16
TPC,048770,2001-01-16
승일,049830,2001-01-18
SM C&C,048550,2001-01-18
HLB이노베이션,024850,2001-01-18
조광ILI,044060,2001-01-18
진양화학,051630,2001-01-29
삼표시멘트,038500,2001-02-01
삼표시멘트,038500,2001-02-01
HD현대인프라코어,042670,2001-02-02
한화오션,042660,2001-02-02
대우건설,047040,2001-03-23
포스코인터내셔널,047050,2001-03-23
LG생활건강,051900,2001-04-25
LG화학,051910,2001-04-25
SFA반도체,036540,2001-05-02
대아티아이,045390,2001-05-17
현대바이오랜드,052260,2001-05-17
캠시스,050110,2001-05-17
에이텍,045660,2001-05-24
에코바이오,038870,2001-05-29
나라엠앤디,051490,2001-06-12
스카이문스테크놀로지,033790,2001-06-26
큐로홀딩스,051780,2001-06-26
티에스넥스젠,043220,2001-07-03
에스티큐브,052020,2001-07-05
코텍,052330,2001-07-10
한네트,052600,2001-07-10
디지아이,043360,2001-07-20
파인디앤씨,049120,2001-07-26
CJ프레시웨이,051500,2001-07-26
세아홀딩스,058650,2001-07-30
중앙디앤엠,051980,2001-07-31
대원미디어,048910,2001-07-31
초록뱀컴퍼니,052300,2001-08-02
유아이엘,049520,2001-08-02
코웨이,021240,2001-08-07
바이넥스,053030,2001-08-07
오성첨단소재,052420,2001-08-07
태양,053620,2001-08-07
세코닉스,053450,2001-08-09
액토즈소프트,052790,2001-08-14
세동,053060,2001-08-17
프로텍,053610,2001-08-17
KCC건설,021320,2001-08-21
한국테크놀로지,053590,2001-08-23
JYP Ent.,035900,2001-08-30
CMG제약,058820,2001-08-31
YTN,040300,2001-09-04
신한지주,055550,2001-09-10
안랩,053800,2001-09-13
코데즈컴바인,047770,2001-09-18
아이디스홀딩스,054800,2001-09-27
SGA,049470,2001-10-11
엑서지21,043090,2001-10-11
지에스이,053050,2001-10-11
메디콕스,054180,2001-10-16
코나아이,052400,2001-10-18
코미팜,041960,2001-10-30
프리엠스,053160,2001-10-30
한컴위드,054920,2001-11-01
경남제약,053950,2001-11-06
삼보모터스,053700,2001-11-06
태웅,044490,2001-11-08
유진로봇,056080,2001-11-13
에이디칩스,054630,2001-11-13
삼영엠텍,054540,2001-11-15
YW,051390,2001-11-15
이니텍,053350,2001-11-15
MIT,038340,2001-11-22
성호전자,043260,2001-11-29
코위버,056360,2001-12-04
APS,054620,2001-12-04
종근당바이오,063160,2001-12-11
엑사이엔씨,054940,2001-12-13
피에이치에이,043370,2001-12-13
신화인터텍,056700,2001-12-13
리노공업,058470,2001-12-18
성우테크론,045300,2001-12-18
에스에프에이,056190,2001-12-18
웰킵스하이텍,043590,2001-12-20
동아화성,041930,2001-12-26
KH 필룩스,033180,2001-12-26
오리엔탈정공,014940,2001-12-26
비츠로시스,054220,2001-12-26
금강철강,053260,2002-01-04
룽투코리아,060240,2002-01-04
CNT85,056730,2002-01-04
NHN KCP,060250,2002-01-08
일진디스플,020760,2002-01-09
큐로컴,040350,2002-01-10
한빛소프트,047080,2002-01-10
팬스타엔터프라이즈,054300,2002-01-10
대동스틸,048470,2002-01-10
링네트,042500,2002-01-10
한국컴퓨터,054040,2002-01-15
프럼파스트,035200,2002-01-15
미코,059090,2002-01-15
유신,054930,2002-01-15
엔터파트너즈,058450,2002-01-17
서울반도체,046890,2002-01-17
아가방컴퍼니,013990,2002-01-17
제일바이오,052670,2002-01-24
고려신용정보,049720,2002-01-31
뉴보텍,060260,2002-02-05
백금T&A,046310,2002-02-05
뉴보텍,060260,2002-02-05
동양에스텍,060380,2002-02-05
파나케이아,058530,2002-02-05
구영테크,053270,2002-02-07
한국기업평가,034950,2002-02-07
광주신세계,037710,2002-02-07
KT서브마린,060370,2002-02-15
피씨디렉트,051380,2002-02-15
씨티씨바이오,060590,2002-02-21
인탑스,049070,2002-02-21
대한뉴팜,054670,2002-02-26
에스티아이,039440,2002-02-28
잉크테크,049550,2002-02-28
SNT모티브,064960,2002-03-11
케이엘넷,039420,2002-03-12
농우바이오,054050,2002-04-02
오상자이엘,053980,2002-04-09
한국콜마홀딩스,024720,2002-04-09
화일약품,061250,2002-04-18
LG전자,066570,2002-04-22
3S,060310,2002-04-23
ES큐브,050120,2002-04-25
케이피티유,054410,2002-04-25
이랜텍,054210,2002-05-09
에스폴리텍,050760,2002-05-16
알에프텍,061040,2002-05-16
KH바텍,060720,2002-05-21
셀루메드,049180,2002-05-23
우신시스템,017370,2002-05-28
지어소프트,051160,2002-05-28
